Year,Make,Model,Seller,Location,VIN,Mileage,BodyStyle,Engine,Drivetrain,Transmission,ExteriorColor,InteriorColor,TitleStatus,SellerType,Price,Reserve,Horsepower,Torque
1982,BMW,633CSi,Stefan_Strait,"Ballston Lake, NY 12019",WBAEB460XC7510430,"84,400",Coupe,3.2L I6,Rear-wheel drive,Automatic (3-speed),Henna Red,Black,Clean (NY),Private Party,"$3,950",Has reserve,"[('181', '')]",['195']
1984,BMW,633CSi,dugvideos,"Ventura, CA 93003",WBAEB8409E6996442,"268,900",Coupe,3.2L I6,Rear-wheel drive,Automatic (4-speed),Sapphire Blue Metallic,Beige,Clean (CA),Private Party,"$3,500",No reserve,"[('181', '')]",['195']
1995,Land Rover,Range Rover,Aberas2529,"New York, NY 11357",SALHE1242SA658998,"164,400",SUV/Crossover,3.9L V8,4WD/AWD,Automatic (4-Speed),Beluga Black,Sorrell,Clean (NY),Private Party,"$17,000",Has reserve,"[('182', '')]",['232']
1985,BMW,635CSi,arthurm101,"Burbank, CA 91501",WBAEC7404F0606679,"176,200",Coupe,3.4L I6,Rear-wheel drive,Manual (5-speed),Delphin Metallic,Black,Clean (CA),Private Party,"$9,400",Has reserve,"[('182', '')]",['214']
1987,BMW,L6,Krauthammer,"Cincinnati, OH 45215",WBAEC8402H3265533,"91,900",Coupe,3.4L I6,Rear-wheel drive,Automatic (4-speed),Black,Gray,Clean (OH),Private Party,"$7,608",No reserve,"[('182', '')]",['214']
1996,Land Rover,Discovery,itwontstopsnowin,"Erie, PA 16415",SALJY1283TA533232,"61,400",SUV/Crossover,4.0L V8,4WD/AWD,Manual (5-Speed),Altai Silver Metallic,Granite Gray,Clean (PA),Dealer,"$4,800",No reserve,"[('182', '')]",['233']
1997,Toyota,4Runner,altiain,"Round Rock, TX 78681",JT3HN86R6V0091215,"176,700",SUV/Crossover,3.4L V6,4WD/AWD,Automatic (4-Speed),Desert Dune Pearl,Oak,Clean (AZ),Private Party,"$7,100",No reserve,"[('183', '')]",['217']
2003,BMW,525i,Lincoln7,"Bullhead City, AZ 86442",WBADT43473G032953,"82,700",Sedan,2.5L I6,Rear-wheel drive,Automatic (5-speed),Titanium Silver Metallic,Black,Clean (AZ),Private Party,"$8,400",No reserve,"[('184', '')]",['175']
2003,BMW,325i,SpeedDemonJr,"Raleigh, NC 27613",WBAEN33403PC12528,"129,100",Wagon,2.5L I6,Rear-wheel drive,Automatic (5-Speed),Alpine White,Beige,Clean (NC),Private Party,"$7,400",No reserve,"[('184', '')]",['175']
2002,BMW,325i,ARSO,"Los Angeles, CA 91401",WBAEN33492EZ15312,"124,300",Wagon,2.5 I6,Rear-wheel drive,Manual (5-Speed),Steel Gray,Gray,Clean (CA),Private Party,"$6,250",No reserve,"[('184', '')]",['175']
1988,AM General,H1,MoparMan16,"Thousand Oaks, CA 91377",47130,"54,900",Truck,6.2L Diesel V8,4WD/AWD,Automatic (3-speed),Green Camouflage,Black and Green,Clean (VT),Private Party,"$15,500",Has reserve,"[('185', '')]",['330']
1985,Mercedes-Benz,190E,merccossie,"Tybee Island, GA 31328",WDB2010341A195319,"163,800",Sedan,2.3L I4,Rear-wheel drive,Manual (5-speed),Smoke Silver,Black,Clean (TN),Private Party,"$15,000",No reserve,"[('185', '')]",['174']
1985,Mercedes-Benz,190E,koolade9,"Scottsdale, AZ 85251",WDB2010341A184378,"145,800 Miles Shown - TMU",Sedan,2.3L I4,Rear-wheel drive,Manual (5-Speed),Black,Black,Clean (AZ),Private Party,"$14,100",No reserve,"[('185', '')]",['173']
1998,Mercedes-Benz,SLK230,itwontstopsnowin,"Fairview, PA 16415",WDBKK47F7WF064125,"20,200",Convertible,2.3L Supercharged I4,Rear-wheel drive,Automatic (5-Speed),Brilliant Silver,Mondrian Blue/Black,Clean (PA),Dealer,"$8,599",No reserve,"[('185', '')]",['200']
1988,BMW,635CSi,btifft,"San Mateo, CA 94402",WBAEC8417J3267468,"155,000",Coupe,3.5L I6,Rear-wheel drive,Automatic (4-speed),Tobago Blue,Beige,Clean (CA),Private Party,"$6,000",Has reserve,"[('185', '')]",225
1999,Saab,03-Sep,3pedal,"Chambersburg, PA 17202",YS3DD78N2X7057194,"66,900",Convertible,2.0L Turbocharged I4,Front-wheel drive,Automatic (4-Speed),Black ,Tan,Clean (PA) ,Dealer,"$5,100",No reserve,"[('185', '')]",['194']
1989,Laforza,Laforza,BKnight00,"Sandy, UT 84092",ZBWVF50F7KP000261,"18,600 Miles Shown - TMU",SUV/Crossover,5.0L V8,4WD/AWD,Automatic (4-Speed),Azzurro Metallico,Black,Clean (UT),Private Party,"$3,200",No reserve,"[('185', '')]",['270']
1995,Honda,Prelude,LanceA,"Allen, TX 75013",JHMBB1177SC001456,"99,700",Coupe,2.2L I4,Front-wheel drive,Manual (5-Speed),Milano Red,Black,Clean (TX),Private Party,"$8,200",Has reserve,"[('187', '')]",156 
1999,Land Rover,Discovery,mojocoggo,"San Jose, CA 95136",SALTY1242XA906885,"245,100",SUV/Crossover,4.0L V8,4WD/AWD,Automatic (4-Speed),Java Black,Bahama Beige,Clean (CA),Private Party,"$6,700",Has reserve,"[('188', '')]",['250']
1994,Honda,Accord,euroJDM,"Los Angeles, CA 91356",CD61003986,"68,200",Sedan,2.2L I4,Front-wheel drive,Automatic (4-speed),Bordeaux Red Pearl,Gray,Clean (WA),Private Party,"$5,500",Has reserve,"[('188', '')]",['152']
2005,Mercedes-Benz,C230,ams644,"Jacksonville, FL 32205",WDBRF40J25F643846,"97,600",Sedan,1.8L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Black,Black,Clean (FL),Private Party,Cancelled,No reserve,"[('189', '')]",['192']
2001,BMW,325Ci,SpeedDemonJr,"Raleigh, NC 27613",WBABS33441JY40018,"50,000",Convertible,2.5L I6,Rear-wheel drive,Manual (5-Speed),Fern Green,Black,Clean (NC),Private Party,"$10,700",No reserve,"[('189', '')]",['181']
1995,BMW,325i,DSREPP,"Portland, OR 97230",WBABF42090JA91369,"31,900 Indicated Miles",Coupe,2.5L I6,Rear-wheel drive,Automatic (4-Speed),Cosmos Black,Anthracite,Clean (OR),Dealer,"$8,600",Has reserve,"[('189', '')]",['181']
1992,BMW,525i,bayareadetail,"Mountain View, CA 94010",WBAHD6317NBJ76129,"81,600",Sedan,2.5L I6,Rear-wheel drive,Automatic (4-Speed),Glacier Blue,Light Silvergray,Clean (CA),Private Party,"$6,600",No reserve,"[('189', '')]",['184']
2005,Mercedes-Benz,C230,fly_half,"Redmond, WA 98008",WDBRF40J05F618265,"106,000",Sedan,1.8L Supercharged I4,Rear-wheel drive,Manual (6-speed),Black Opal,Black,Clean (WA),Private Party,"$6,600",No reserve,"[('189', '')]",['192']
1991,BMW,525i,euroJDM,"Los Angeles, CA 91367",WBAHD61090BK27584,"33,600",Sedan,2.5L I6,Rear-wheel drive,Automatic (5-Speed),Mauritius Blue,Gray,Clean (WA),Private Party,"$5,300",Has reserve,"[('189', '')]",['181']
1994,BMW,325i,popaled,"San Diego, CA 92126",WBACB3322RFE19502,"148,700",Sedan,2.5L I6,Rear-wheel drive,Manual (5-speed),Jet Black,Black,Clean (CA),Private Party,"$4,100",No reserve,"[('189', '')]",['181']
2006,Lotus,Elise,Advendture23,"Parker, CO 80134",SCCPC11196HL30344,"31,200",Convertible,1.8L I4,Rear-wheel drive,Manual (6-speed),Solar Yellow,Black,Clean (CO),Private Party,"$31,750",Has reserve,"[('190', '')]",['138']
2005,Lotus,Elise,gb_junkie,"Amarillo, TX 79121",SCCPC11165HL33006,"24,600",Convertible,1.8L I4,Rear-wheel drive,Manual (6-speed),Bordeaux Red Pearl,Black,Clean (TX),Private Party,"$27,500",Has reserve,"[('190', '')]",['133']
2003,Jeep,Wrangler,STSears,"Chesapeake, VA 23322",1J4FA49S93P373577,"97,100",SUV/Crossover,4.0L I6,4WD/AWD,Automatic (4-Speed),Bright Silver Metallic,Dark Slate Gray,Clean (VA),Private Party,"$10,600",No reserve,"[('190', '')]",['225']
2001,Jeep,Cherokee,lverhagen,"Hamilton, OH 45013",1J4FF58S31L537659,"97,900",SUV/Crossover,4.0L I6,4WD/AWD,Automatic (4-speed),Silverstone Metallic,Agate,Clean (OH),Private Party,"$10,000",No reserve,"[('190', '')]",['225']
1998,Toyota,Tacoma,pstsabqnm,"Albuquerque, NM 87102",4TAVN52N1WZ039077,"47,100",Truck,3.4L V6,Rear-wheel drive,Automatic (4-Speed),Starfire Pearl,Oak,Clean (TX),Dealer,"$9,876",No reserve,"[('190', '')]",['220']
1987,Porsche,944,GuardsRed,"New York, NY 10463",WP0AA0945HN451222,"141,900",Coupe,2.5L I4,Rear-wheel drive,Manual (5-Speed),Guards Red,Black,Clean (NY),Private Party,"$9,000",No reserve,"[('190', '')]",['170']
1995,Jeep,Cherokee,Coloradical,"Denver, CO 80207",1J4FJ67S8SL665841,"128,400",SUV/Crossover,4.0L I6,4WD/AWD,Automatic (4-speed), Emerald Green Metallic,Charcoal,Clean (MT),Private Party,"$8,600",No reserve,"[('190', '')]",['225']
2000,Jeep,Cherokee,fifthgear,"Montclair, NJ  07043",1J4FF48S5YL217263,"121,800",SUV/Crossover,4.0L I6,4WD/AWD,Manual (5-Speed),Forest Green,Agate,Exceeds Mechanical Limits (NJ),Private Party,"$6,500",No reserve,"[('190', '')]",['225']
2000,BMW,528i,sheard,"Delta, CO 81416",WBADP534XYBR95408,"149,800",Wagon,2.8L I6,Rear-wheel drive,Manual (5-speed),Titanium Silver Metallic,Black Leather,Clean (CO),Private Party,"$5,678",No reserve,"[('190', '')]",['207']
1999,Infiniti,I30,itwontstopsnowin,"Fairview, PA 16415",JNKCA21A7XT751214,"53,100",Sedan,3.0L V6,Front-wheel drive,Automatic (4-Speed),Aspen White Pearl,Sage,Clean (PA),Dealer,"$4,600",No reserve,"[('190', '')]",['205']
1988,Ford,Thunderbird,JohnOsborn,"Austin, TX 78731",1FABP64T2JH179467,"88,900",Coupe,2.3L Turbocharged i4,Rear-wheel drive,Manual (5-speed),Black,Raven (Dark Gray and Blue),Clean (TX),Private Party,"$3,900",Has reserve,"[('190', '')]",['177']
1996,Jeep,Cherokee,EbaziAuto,"Allenhurst, NJ 07711",1J4FJ68S2TL119228,"177,500",SUV/Crossover,4.0L I6,4WD/AWD,Automatic (4-Speed),White,Gray,Clean (NJ),Private Party,"$3,350",No reserve,"[('190', '')]",['225']
1995,Land Rover,Range Rover,ITSTRUE,"Rapid City, SD 57702",SALPV1240SA304828,"92,525",SUV/Crossover,4.0L V8,4WD/AWD,Automatic (4-Speed),Aspen Silver,Light Granite Leather,Clean (SD) ,Private Party,"$3,100",No reserve,"[('190', '')]",251 
1988,BMW,M3,Alex_Interstate_Motorsport,"Pennington, NJ 08534",WBSAK0303J2197397,"185,300",Coupe,2.3L I4,Rear-wheel drive,Manual (5-Speed),Diamond Black Metallic,Gray,Clean (NJ),Dealer,"$39,000",Has reserve,"[('192', '')]",['170']
1995,BMW,325i,kingla39,"Santa Susana, CA 93063",WBACB3320SFE23490,"77,600",Sedan,2.5L I6,Rear-wheel drive,Manual (5-Speed),Alpine White,Casual Beige,Clean (CA),Private Party,"$8,600",No reserve,"[('192', '')]",['181']
2003,Mercedes-Benz,SLK230,I_sell_obscure_cars,"Phoenix, AZ 85020",WDBKK49F83F293387,"55,500",Convertible,2.3L Supercharged I4,Rear-wheel drive,Automatic (5-Speed),Pewter Silver Metallic,Black,Clean (AZ),Dealer,"$5,100",Has reserve,"[('192', '')]",['207']
1999,BMW,Z3,RP_Motors,"St. Louis, MO 63110",4USCK5339XLE95265,"136,700",Coupe,2.8L I6,Rear-wheel drive,Manual (5-speed),Bright Red (Hellrot),Black,Clean (KY),Dealer,"$14,200",No reserve,"[('193', ''), ('', '309')]","['206', '265']"
2000,BMW,Z3,pfbz,"Greenwood Village, CO 80111",4USCH3342YLF41936,"43,300",Convertible,2.8L I6,Rear-wheel drive,Manual (5-speed),Steel Gray Metallic,Black,Clean (CO),Private Party,"$12,100",Has reserve,"[('193', '')]",['206']
1999,BMW,Z3,Jammers,"Mission Viejo, CA 92692",4USCK5339XLE95217,"129,000",Coupe,2.8L I6,Rear-wheel drive,Manual (5-Speed),Jet Black,Black,Clean (CA),Private Party,"$10,350",Has reserve,"[('193', '')]",['206']
2000,BMW,Z3,LVMC,"Las Vegas, NV 89118",4USCH3343YLF43016,"82,000",Convertible,2.8L I6,Rear-wheel drive,Manual (5-Speed),Topaz Blue,Beige,Clean (CO),Dealer,"$7,400",Has reserve,"[('193', '')]",['206']
2000,BMW,328Ci,DINGO16,"North Hollywood, CA 91606",WBABM5344YJP00776,"141,700",Coupe,3.0L I6,Rear-wheel drive,Manual (5-Speed),Titanium Silver,Gray,Clean (CA),Dealer,"$6,333",No reserve,"[('194', '')]",['206']
2000,Acura,Integra,caribou,"Irvine, CA 92604",JH4DC2319YS005298,"135,600",Hatchback,1.8L I-4,Front-wheel drive,Manual (5-speed),Flamenco Black Pearl,Black,Clean (CA),Private Party,"$19,400",Has reserve,"[('195', '')]",['130']
2001,Acura,Integra,hkao22,"Los Angeles, CA 90019",JH4DC23101S000366,"207,000 Miles Shown - TMU",Hatchback,1.8L I4,Front-wheel drive,Manual (5-Speed),Nighthawk Black Pearl,Black,Clean (CA),Private Party,"$19,250",No reserve,"[('195', '')]",['130']
1996,Ford,Bronco,TailGator,"Santa Barbara, CA 93109",1FMEU15N4TLB71837,"84,500",SUV/Crossover,4.9L V8,4WD/AWD,Automatic (4-Speed),Dark Toreador Red,Opal Gray,Clean (CA),Private Party,"$15,750",Has reserve,"[('195', '')]",['270']
2000,Honda,Prelude,Terrorsquad,"Osprey, FL 34229",JHMBB6245YC800775,"44,800",Coupe,2.2L I4,Front-wheel drive,Automatic (4-Speed),Premium White Pearl,Gray,Clean (FL),Private Party,"$8,600",No reserve,"[('195', '')]",['156']
2019,Ford,Fiesta ST,ryantomorrow,"Cupertino, CA 95014",3FADP4GX1KM166198,"2,600",Hatchback,1.6L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Shadow Black,Smoke,Clean (CA),Private Party,"$19,500",Has reserve,"[('197', '')]",['202']
2019,Ford,Fiesta ST,blujet,"Odessa, FL 33556",3FADP4GX5KM108921,"3,400",Hatchback,1.6L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Magnetic,Smoke Storm,Clean (FL),Private Party,"$17,500",Has reserve,"[('197', '')]",['202']
2014,Ford,Fiesta ST,TheSeaBaker,"Dallas, TX 75204",3FADP4GX7EM236405,"54,600",Hatchback,1.6L Turbocharged i4,Front-wheel drive,Manual (6-speed),Tuxedo Black,Black/Gray,Clean (MS),Private Party,"$10,521",No reserve,"[('197', '')]",['214']
2014,Ford,Fiesta ST,Cars_and_Car,"Brooklyn, NY 11214",3FADP4GX8EM120534,"104,900",Hatchback,1.6L Turbocharged I4,Front-wheel drive,Manual (6-speed),Performance Blue Metallic,Charcoal Black,Clean (CT),Dealer,"$8,500",Has reserve,"[('197', '')]",['202']
1991,Nissan,Gloria,91GloriaGT,"Fort Belvoir, VA 22060",PBY32-003210,"48,600",Sedan,3.0L V6,Rear-wheel drive,Automatic (4-Speed),Black,Gray,Clean (VA),Private Party,"$7,400",Has reserve,"[('197', '')]",['192']
2008,BMW,335i,rcs77,"Tampa, FL 33647",WBAVB775X8NH80064,"53,000",Sedan,3.0L Turbocharged I6,Rear-wheel drive,Automatic (6-speed),Black Sapphire Metallic,Black,Clean (FL),Private Party,"$6,500",Has reserve,"[('20', ''), ('326', '')]",300
1994,Toyota,MR2,MidshipRunabout,"Sandy, UT 84093",JT2SW22N7R0089390,"144,900",Coupe,2.0L I4,Rear-wheel drive,Manual (5-Speed),Emerald Green Pearl,Tan,Clean (UT),Private Party,"$17,000",Has reserve,"[('200', ''), ('270', '')]",['200']
1984,Porsche,911,the_traveling_broker,"Ellijay, GA 30540",WP0AB091XES120796,"156,000",Coupe,3.2L Flat-6,Rear-wheel drive,Manual (5-speed),Ruby Red Metallic,Maroon,Clean (FL),Private Party,"$33,900",Has reserve,"[('200', '')]",209 
1984,Porsche,911,porscheJ,"San Mateo, CA 94403",WP0EB091XES160765,"247,200",Convertible,3.2L Flat-6,Rear-wheel drive,Manual (5-Speed),Black,Black,Clean (CA),Private Party,"$30,250",Has reserve,"[('200', '')]",['185']
1986,Porsche,911,AwesomeGus,"Dedham, MA 02026",WP0EB0915GS171417,"86,200",Convertible,3.2L Flat-6,Rear-wheel drive,Manual (5-Speed),Black,Beige,Clean (MA),Private Party,"$30,000",Has reserve,"[('200', '')]",['185']
1993,Toyota,MR2,jh96,"Santa Clara, CA 95054",JT2SW22NXP0077215,"52,700",Coupe,2.0L Turbocharged I4,Rear-wheel drive,Manual (5-Speed),Super Red II,Beige,Clean (CA),Private Party,"$17,200",Has reserve,"[('200', '')]",['200']
2013,Scion,FR-S,jeffsu350,"Carlsbad, CA 92009",JF1ZNAA16D1704537,"71,400",Coupe,2.0L Flat-4,Rear-wheel drive,Manual (6-speed),Raven Black,Black,Clean (CA),Private Party,"$12,686",No reserve,"[('200', '')]",['151']
2013,Scion,FR-S,ottopjm,"Saint Paul, MN 55105",JF1ZNAA18D1713059,"66,000",Coupe,2.0L Flat-4,Rear-wheel drive,Manual (6-Speed),Hot Lava Metallic,Black,Clean (MN),Private Party,"$11,600",No reserve,"[('200', '')]",['151']
1995,Land Rover,Range Rover,mikecweber4,"Knoxville, TN 37920",SALHV1244SA658274,"113,300",SUV/Crossover,3.9L V8,4WD/AWD,Automatic (4-Speed),British Racing Green,Tan,Clean (TN),Private Party,"$10,750",Has reserve,"[('200', '')]",['251']
2008,Audi,TT,VBAutosports,"Vero Beach, FL 32960",TRUAF38J081023940,"53,700",Coupe,2.0L Turbocharged I4,Front-wheel drive,Automatic (6-Speed),Sahara Silver Metallic,Black,Clean (FL),Dealer,"$10,700",Has reserve,"[('200', '')]",['207']
1986,Mercedes-Benz,420SEL,SUHzaphone,"Lincoln, NE 68512",WDBCA35DXGA219042,"55,200",Sedan,4.2L V8,Rear-wheel drive,Automatic (4-Speed),Silver,Blue,Clean (NE),Dealer,"$10,400",No reserve,"[('200', '')]",['229']
2008,Audi,A4,hheaydonB7,"Avon, CO 81620",WAUKF78E18A112857,"128,100",Wagon,2.0L Turbocharged I4,4WD/AWD,Manual (6-speed),Mauritius Blue,Black,Clean (CO),Private Party,"$9,800",Has reserve,"[('200', '')]",['207']
1991,Toyota,MR2,mgrosellc,"Yonkers, NY 10470",JT2SW22N7M0029201,"80,700",Coupe,2.0L Turbocharged I4,Rear-wheel drive,Manual (5-Speed),Black,Black,Clean (FL),Private Party,"$9,500",Has reserve,"[('200', '')]",['200']
1982,Chevrolet,Corvette,82Vette,"Chicago, IL 60625",G1AY8785C5104524,"69,500",Coupe,5.7L V8,Rear-wheel drive,Automatic (4-speed),Silver,Gray,Clean (IL),Private Party,"$9,500",Has reserve,"[('200', '')]",['284']
1992,Acura,Legend,DollyWolly,"Los Angeles, CA 90077",JH4KA7664NC023859,"55,400",Sedan,3.2L V6,Front-wheel drive,Automatic (5-Speed),Seattle Silver Metallic,Tan,Clean (CA),Private Party,"$9,000",No reserve,"[('200', '')]",['210']
1991,Toyota,MR2,BUILTOFFICIAL,"Gadsden, AL 35903",JT2SW22N8M0016280,"197,600",Coupe,2.0L Turbocharged I4,Rear-wheel drive,Manual (5-Speed),Crimson Red,Black,Clean (AL),Private Party,"$8,600",No reserve,"[('200', '')]",['200']
1995,Acura,Legend,ErnesMUK,"Mukilteo, WA 98275",JH4KA7665SC001915,"51,900",Sedan,3.2L V6,Front-wheel drive,Automatic (4-speed), Canterbury Green,Grace Beige,Clean (WA),Private Party,"$7,100",Has reserve,"[('200', '')]",['210']
1990,Cadillac,Allante,bjeff77,"Saratoga Springs, UT 84045",1G6VS3381LU125432,"95,800",Convertible,4.5L V8,Front-wheel drive,Automatic (4-Speed),Euro Red,Natural Beige,Clean (UT),Dealer,"$7,000",No reserve,"[('200', '')]",['270']
2007,Audi,A4,COmanualdriver,"Avon, CO 81620",WAUKF78E17A163936,"145,100",Wagon,2.0L I4,4WD/AWD,Manual (6-Speed),Dakar Beige Metallic,Beige,Clean (CO),Private Party,"$5,400",Has reserve,"[('200', '')]",['207']
1993,Acura,Legend,I_sell_obscure_cars,"Phoenix, AZ 85020",JH4KA7635PC010255,"88,350",Sedan,3.2L V6,Front-wheel drive,Automatic (4-speed),Vineyard Grey Metallic,Grace Beige,Clean (AZ),Dealer (Arizona residents pay 8.6% sales tax),"$4,250",Has reserve,"[('200', '')]",['210']
1986,Mercedes-Benz,420SEL,petescarport,"Brandon, FL 33511",WDBCA35D9GA254591,"128,370 Miles Shown - TMU",Sedan,4.2L V8,Rear-wheel drive,Automatic (4-Speed),Light Ivory,Palomino,Clean (FL),Private Party,"$3,000",No reserve,"[('200', '')]",['229']
2003,Volkswagen,Eurovan,EB_Reinhardt,"Lincoln, NE 68506",WV2MB47033H030402,"185,600",Van/Minivan,2.8L V6,Front-wheel drive,Automatic (4-speed),Silver,Gray,Clean (NE),Private Party,"$67,001",No reserve,"[('201', '')]",['181']
1999,Porsche,Boxster,babysfirstvolvo,"Hyrum, UT 84319",WP0CA2987XU623911,"76,700",Convertible,2.5L Flat-6,Rear-wheel drive,Manual (5-Speed),Arctic Silver,Black,Clean (UT),Private Party,"$8,500",No reserve,"[('201', '')]",['181']
2003,Volkswagen,Eurovan,EB_Reinhardt,"Lincoln, NE 68506",WV2MB47033H030402,"185,600",Van/Minivan,2.8L V6,Front-wheel drive,Automatic (4-speed),Silver,Gray,Clean (NE),Private Party,"$8,461",No reserve,"[('201', '')]",['181']
2005,Mercedes-Benz,E320 CDI,allgasnobrakes,"Westchester, FL 33165",WDBUF26J65A587171,"118,900",Sedan,3.2L Turbodiesel I6,Rear-wheel drive,Automatic (5-Speed),Travertine Beige,Beige,Clean (FL),Dealer,"$7,500",No reserve,"[('201', '')]",['369']
2011,Jeep,Wrangler,centsible,"Kalispell, MT 599901",1J4BA6H1XBL583100,"109,800",SUV/Crossover,3.8L V6,4WD/AWD,Automatic (4-Speed),Bright Silver Metallic,Black,Clean (MT),Dealer,"$15,300",Has reserve,"[('202', '')]",['237']
1994,Mercedes-Benz,G320,boatguy1,"Marblehead, MA 01945",WDB46323017098152,1,SUV/Crossover,3.2L I6,4WD/AWD,Automatic (4-Speed),Blue-Black Metallic,Black,TMU (MA),Private Party,"$32,500",Has reserve,"[('208', '')]",['221']
2013,MINI,Cooper Coupe,smb127,"Peoria, IL 61615",WMWSX9C54DT655070,"18,400",Coupe,1.6L Turbocharged I4,Front-wheel drive,Manual (6-speed),Midnight Black Metallic,Carbon Black,Clean (IL),Private Party,"$20,100",Has reserve,"[('208', '')]",['192']
2013,MINI,Cooper,op77,"Long Beach, CA 90802",WMWSU9C55DT722624,"50,400",Hatchback, 1.6L Turbocharged I4,Front-wheel drive,Manual (6-speed),Black/Red,Black,Clean (CA),Private Party,"$13,600",Has reserve,"[('208', '')]",['207']
2013,MINI,Cooper,3pedal,"Great Falls, VA 22066",WMWSU9C50DT722045,"98,600",Hatchback,1.6L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Gray,Black,Clean (PA),Dealer,"$9,200",Has reserve,"[('208', '')]","['192', '000']"
2010,MINI,Cooper Clubman,John_G,"Houston, TX 77002",WMWMM3C56ATP76208,"73,500",Wagon,1.6L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Pepper White,Black,Clean (TX),Private Party,"$9,200",No reserve,"[('208', '')]",['192']
2011,MINI,Cooper,Geco,"Pleasant Grove, UT 84062",WMWSV9C54BTZ96813,"82,500",Hatchback,1.6L I4,Front-wheel drive,Manual (6-Speed),Midnight Black Metallic,Black,Clean (UT),Private Party,"$8,600",Has reserve,"[('208', '')]",['206']
1992,BMW,535i,TomKammtail,"Vancouver, WA 98661",WBAHD1311NBF12220,"167,900",Sedan,3.5L I6,Rear-wheel drive,Manual (5-Speed),Alpine White,Silver Gray,Clean (WA),Private Party,"$8,200",No reserve,"[('208', '')]",['225']
1986,BMW,635CSi,AbrahamR,"Riverside, CA 92507",WBAEC8400G0613670,"176,000",Coupe,3.4L I6,Rear-wheel drive,Automatic (4-speed),Alpine White,Beige,Clean (CA),Private Party,"$8,169",No reserve,"[('208', '')]",229 
1984,BMW,Alpina B6 2.8,MendelsGarage,"Philadelphia, PA 19124",WAPB628014B620003,"53,300",Sedan,2.8L I6,Rear-wheel drive,Manual (5-Speed),Delphin Metallic,Black,Clean (PA),Dealer,"$46,000",Has reserve,"[('210', ''), ('148', '')]","['199', '151']"
1986,BMW,Alpina C2 2.7,203Motoring,"Guilford, CT 06437",WAPC227006C210028,"60,700",Sedan,2.7L I6,Rear-wheel drive,Manual (5-Speed),Alpine White,Black,Clean (NH),Private Party,"$41,250",Has reserve,"[('210', ''), ('169', '')]","['197', '167']"
1985,Ford,Mustang,854eye,"Houston, TX 77064",1FABP28M9FF230283,"14,300",Coupe,5.0L V8,Rear-wheel drive,Manual (5-Speed),Bright Red,Gray ,Clean (TX),Private Party,"$19,000",Has reserve,"[('210', '')]",265 
1995,Ford,Bronco,Sahlein,"Las Vegas, NV 89044",1FMEU15H9SLB69607,"151,000",SUV/Crossover,5.8L V8,4WD/AWD,Automatic (4-speed),Black and Tan,Tan,Clean (CA),Private Party,"$14,505",Has reserve,"[('210', '')]",['325']
1999,Mitsubishi,Eclipse,leaguecitytexas,"League City, TX 77573",4A3AL54F5XE045792,"89,000",Coupe,2.0L Turbocharged I4,4WD/AWD,Manual (5-speed),Barcelona Red Pearl,Tan,Clean (TX),Private Party,"$13,400",No reserve,"[('210', '')]",['214']
2006,Acura,RSX,dsl21f,"Lake St. Louis, MO 63367",JH4DC53056S021004,"102,800",Hatchback,2.0L I4,Front-wheel drive,Manual (6-Speed),Black,Black,Clean (MO),Private Party,"$10,300",Has reserve,"[('210', '')]",['143']
2005,Subaru,Forester,dwebb,"Oregon, WI 53575",JF1SG69655H713408,"129,800",SUV/Crossover,2.5L Turbocharged Flat-4,4WD/AWD,Automatic (4-Speed),Platinum Silver Metallic,Black,Clean (WI),Private Party,"$9,200",No reserve,"[('210', '')]",['235']
1985,Ford,Mustang,854eye,"Houston, TX 77064",1FABP28M9FF230283,"14,300",Coupe,5.0L V8,Rear-wheel drive,Manual (5-Speed),Bright Red,Gray ,Clean (TX),Private Party,"$9,000",Has reserve,"[('210', '')]",[]
1990,GMC,Jimmy,JayMitch,"Woodbridge, NJ 07095",1GKEV18K4LF503247,"209,800",SUV/Crossover,5.7L V8,4WD/AWD,Automatic (4-speed),Blue and White,Blue and White,Clean (NJ),Private Party,"$8,350",Has reserve,"[('210', '')]",['300']
1990,Ford,Bronco,Calisto,"Costa Mesa, CA 92626",1FMEU15H3LLA42241,"112,700, TMU",SUV/Crossover,5.8L V8,4WD/AWD,Automatic (4-Speed),Scarlet Red,Chestnut,Clean (CA),Private Party,"$7,700",Has reserve,"[('210', '')]",['315']
1995,Ford,F-250,Saluki,"Waterloo, IL 62298",1FTHF25H7SNA16083,"79,200",Truck,5.8L V8,Rear-wheel drive,Manual (4-Speed),Oxford White,Grey,Clean (IL),Private Party,"$7,000",No reserve,"[('210', '')]",['325']
2005,Subaru,Baja,PeteLoafer,"Los Angeles, CA 90293",4S4BT63C555108001,"176,700",Truck,2.5L Turbocharged Flat-4,4WD/AWD,Automatic (4-Speed),Obsidian Black Pearl,Black/Gray,Clean (CA),Private Party,"$4,200",No reserve,"[('210', '')]",['235']
